Municipios;Distritos;Secciones;Índice de Gini y Distribución de la renta P80/P20;Periodo;Total
28002 Ajalvir;2800201 Ajalvir distrito 01;2800201002 Ajalvir sección 01002;Distribución de la renta P80/P20;2016;2,8
28002 Ajalvir;2800201 Ajalvir distrito 01;2800201002 Ajalvir sección 01002;Distribución de la renta P80/P20;2015;2,6
28003 Alameda del Valle;;;Índice de Gini;2023;35,7
28003 Alameda del Valle;;;Índice de Gini;2022;36
28003 Alameda del Valle;;;Índice de Gini;2021;34,5
28003 Alameda del Valle;;;Índice de Gini;2020;32,1
28003 Alameda del Valle;;;Índice de Gini;2019;36,4
28003 Alameda del Valle;;;Índice de Gini;2018;31,8
28003 Alameda del Valle;;;Índice de Gini;2017;35,8
28003 Alameda del Valle;;;Índice de Gini;2016;37
28003 Alameda del Valle;;;Índice de Gini;2015;34,2
28003 Alameda del Valle;;;Distribución de la renta P80/P20;2023;2,9
28003 Alameda del Valle;;;Distribución de la renta P80/P20;2022;3,1
28003 Alameda del Valle;;;Distribución de la renta P80/P20;2021;2,9
28003 Alameda del Valle;;;Distribución de la renta P80/P20;2020;3
28003 Alameda del Valle;;;Distribución de la renta P80/P20;2019;3,2
28003 Alameda del Valle;;;Distribución de la renta P80/P20;2018;2,9
28003 Alameda del Valle;;;Distribución de la renta P80/P20;2017;3,2
28003 Alameda del Valle;;;Distribución de la renta P80/P20;2016;2,9
28003 Alameda del Valle;;;Distribución de la renta P80/P20;2015;2,8
28003 Alameda del Valle;2800301 Alameda del Valle distrito 01;;Índice de Gini;2023;35,7
28003 Alameda del Valle;2800301 Alameda del Valle distrito 01;;Índice de Gini;2022;36
28003 Alameda del Valle;2800301 Alameda del Valle distrito 01;;Índice de Gini;2021;34,5
28003 Alameda del Valle;2800301 Alameda del Valle distrito 01;;Índice de Gini;2020;32,1
28003 Alameda del Valle;2800301 Alameda del Valle distrito 01;;Índice de Gini;2019;36,4
28003 Alameda del Valle;2800301 Alameda del Valle distrito 01;;Índice de Gini;2018;31,8
28003 Alameda del Valle;2800301 Alameda del Valle distrito 01;;Índice de Gini;2017;35,8
28003 Alameda del Valle;2800301 Alameda del Valle distrito 01;;Índice de Gini;2016;37
28003 Alameda del Valle;2800301 Alameda del Valle distrito 01;;Índice de Gini;2015;34,2
28003 Alameda del Valle;2800301 Alameda del Valle distrito 01;;Distribución de la renta P80/P20;2023;2,9
28003 Alameda del Valle;2800301 Alameda del Valle distrito 01;;Distribución de la renta P80/P20;2022;3,1
28003 Alameda del Valle;2800301 Alameda del Valle distrito 01;;Distribución de la renta P80/P20;2021;2,9
28003 Alameda del Valle;2800301 Alameda del Valle distrito 01;;Distribución de la renta P80/P20;2020;3
28003 Alameda del Valle;2800301 Alameda del Valle distrito 01;;Distribución de la renta P80/P20;2019;3,2
28003 Alameda del Valle;2800301 Alameda del Valle distrito 01;;Distribución de la renta P80/P20;2018;2,9
28003 Alameda del Valle;2800301 Alameda del Valle distrito 01;;Distribución de la renta P80/P20;2017;3,2
28003 Alameda del Valle;2800301 Alameda del Valle distrito 01;;Distribución de la renta P80/P20;2016;2,9
28003 Alameda del Valle;2800301 Alameda del Valle distrito 01;;Distribución de la renta P80/P20;2015;2,8
28003 Alameda del Valle;2800301 Alameda del Valle distrito 01;2800301001 Alameda del Valle sección 01001;Índice de Gini;2023;35,7
28003 Alameda del Valle;2800301 Alameda del Valle distrito 01;2800301001 Alameda del Valle sección 01001;Índice de Gini;2022;36
28003 Alameda del Valle;2800301 Alameda del Valle distrito 01;2800301001 Alameda del Valle sección 01001;Índice de Gini;2021;34,5
28003 Alameda del Valle;2800301 Alameda del Valle distrito 01;2800301001 Alameda del Valle sección 01001;Índice de Gini;2020;32,1
28003 Alameda del Valle;2800301 Alameda del Valle distrito 01;2800301001 Alameda del Valle sección 01001;Índice de Gini;2019;36,4
28003 Alameda del Valle;2800301 Alameda del Valle distrito 01;2800301001 Alameda del Valle sección 01001;Índice de Gini;2018;31,8
28003 Alameda del Valle;2800301 Alameda del Valle distrito 01;2800301001 Alameda del Valle sección 01001;Índice de Gini;2017;35,8
28003 Alameda del Valle;2800301 Alameda del Valle distrito 01;2800301001 Alameda del Valle sección 01001;Índice de Gini;2016;37
28003 Alameda del Valle;2800301 Alameda del Valle distrito 01;2800301001 Alameda del Valle sección 01001;Índice de Gini;2015;34,2
28003 Alameda del Valle;2800301 Alameda del Valle distrito 01;2800301001 Alameda del Valle sección 01001;Distribución de la renta P80/P20;2023;2,9
28003 Alameda del Valle;2800301 Alameda del Valle distrito 01;2800301001 Alameda del Valle sección 01001;Distribución de la renta P80/P20;2022;3,1
28003 Alameda del Valle;2800301 Alameda del Valle distrito 01;2800301001 Alameda del Valle sección 01001;Distribución de la renta P80/P20;2021;2,9
28003 Alameda del Valle;2800301 Alameda del Valle distrito 01;2800301001 Alameda del Valle sección 01001;Distribución de la renta P80/P20;2020;3
28003 Alameda del Valle;2800301 Alameda del Valle distrito 01;2800301001 Alameda del Valle sección 01001;Distribución de la renta P80/P20;2019;3,2
28003 Alameda del Valle;2800301 Alameda del Valle distrito 01;2800301001 Alameda del Valle sección 01001;Distribución de la renta P80/P20;2018;2,9
28003 Alameda del Valle;2800301 Alameda del Valle distrito 01;2800301001 Alameda del Valle sección 01001;Distribución de la renta P80/P20;2017;3,2
28003 Alameda del Valle;2800301 Alameda del Valle distrito 01;2800301001 Alameda del Valle sección 01001;Distribución de la renta P80/P20;2016;2,9
28003 Alameda del Valle;2800301 Alameda del Valle distrito 01;2800301001 Alameda del Valle sección 01001;Distribución de la renta P80/P20;2015;2,8
28004 Álamo, El;;;Índice de Gini;2023;30,1
28004 Álamo, El;;;Índice de Gini;2022;31,4
28004 Álamo, El;;;Índice de Gini;2021;31,1
28004 Álamo, El;;;Índice de Gini;2020;32,2
28004 Álamo, El;;;Índice de Gini;2019;32
28004 Álamo, El;;;Índice de Gini;2018;32,7
28004 Álamo, El;;;Índice de Gini;2017;33,7
28004 Álamo, El;;;Índice de Gini;2016;34,7
28004 Álamo, El;;;Índice de Gini;2015;35,1
28004 Álamo, El;;;Distribución de la renta P80/P20;2023;2,7
28004 Álamo, El;;;Distribución de la renta P80/P20;2022;2,9
28004 Álamo, El;;;Distribución de la renta P80/P20;2021;2,8
28004 Álamo, El;;;Distribución de la renta P80/P20;2020;2,8
